"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09","3,473.95","3,023.85","3,517.25","2,965.70","6.43B","15.00%"
"Mar 09","3,020.95","2,764.60","3,123.35","2,539.45","5.34B","9.31%"
"Feb 09","2,763.65","2,872.35","2,969.75","2,677.55","3.95B","-3.87%"
"Jan 09","2,874.80","2,963.30","3,147.20","2,661.65","6.11B","-2.85%"
"Dec 08","2,959.15","2,755.15","3,110.45","2,570.70","6.35B","7.41%"
"Nov 08","2,755.10","2,885.40","3,240.55","2,502.90","4.55B","-4.52%"
"Oct 08","2,885.60","3,921.85","4,000.50","2,252.75","4.35B","-26.41%"
"Sep 08","3,921.20","4,356.10","4,558.00","3,715.05","3.09B","-10.06%"
"Aug 08","4,360.00","4,331.60","4,649.85","4,201.85","2.36B","0.62%"
"Jul 08","4,332.95","4,039.75","4,539.45","3,790.20","3.62B","7.24%"
"Jun 08","4,040.55","4,869.25","4,908.80","4,021.70","3.04B","-17.03%"
"May 08","4,870.10","5,265.30","5,298.85","4,801.90","2.88B","-5.73%"
"Apr 08","5,165.90","4,735.65","5,230.75","4,628.75","2.68B","9.11%"
"Mar 08","4,734.50","5,222.80","5,222.80","4,468.55","2.64B","-9.36%"
"Feb 08","5,223.50","5,140.60","5,545.20","4,803.60","2.12B","1.67%"
"Jan 08","5,137.45","6,136.75","6,357.10","4,448.50","3.06B","-16.31%"
"Dec 07","6,138.60","5,765.45","6,185.40","5,676.70","2.06B","6.52%"
"Nov 07","5,762.75","5,903.80","6,011.95","5,394.35","3.31B","-2.34%"
"Oct 07","5,900.65","5,021.50","5,976.00","5,000.95","3.50B","17.51%"
"Sep 07","5,021.35","4,466.65","5,055.80","4,445.55","1.88B","12.49%"
"Aug 07","4,464.00","4,528.85","4,532.90","4,002.20","1.73B","-1.43%"
"Jul 07","4,528.85","4,318.40","4,647.95","4,304.00","1.92B","4.88%"
"Jun 07","4,318.30","4,296.05","4,362.95","4,100.80","1.58B","0.52%"
"May 07","4,295.80","4,089.45","4,306.75","3,981.15","1.72B","5.09%"
"Apr 07","4,087.90","3,820.00","4,217.90","3,617.00","1.64B","6.97%"
"Mar 07","3,821.55","3,745.40","3,901.75","3,554.50","1.79B","2.04%"
"Feb 07","3,745.30","4,083.40","4,245.30","3,674.85","1.55B","-8.26%"
"Jan 07","4,082.70","3,966.25","4,167.15","3,833.60","1.52B","2.93%"
"Dec 06","3,966.40","3,955.70","4,046.85","3,657.65","1.35B","0.30%"
"Nov 06","3,954.50","3,744.10","3,976.80","3,737.00","1.52B","5.62%"
"Oct 06","3,744.10","3,588.95","3,782.85","3,508.65","1.41B","4.34%"
"Sep 06","3,588.40","3,414.00","3,603.70","3,328.45","1.40B","5.11%"
